Year,State,Unit,Draw Type,Draw Odds-Zero,App Cost,App Deadline,Active Hunters,Harvest Quota,ES_Harvest,ES_Success,Buck_Harvest,Buck_Success,Region
2022,WY,1,General,0.36577181208053694,,,1187.0,545.0,497.0,0.41870261162594774,463.0,0.3900589721988206,A
2022,WY,2,General,0.36577181208053694,,,1091.0,545.0,285.0,0.2612282309807516,248.0,0.22731439046746105,A
2022,WY,3,General,0.36577181208053694,,,266.0,545.0,93.0,0.34962406015037595,66.0,0.24812030075187969,A
2022,WY,4,General,0.36577181208053694,,,427.0,545.0,94.0,0.22014051522248243,91.0,0.21311475409836064,A
2022,WY,5,General,0.36577181208053694,,,265.0,545.0,111.0,0.4188679245283019,104.0,0.39245283018867927,A
2022,WY,6,General,0.36577181208053694,,,521.0,545.0,232.0,0.44529750479846447,219.0,0.42034548944337813,A
2022,WY,7,General,0.40641711229946526,,,119.0,228.0,35.0,0.29411764705882354,31.0,0.2605042016806723,B
2022,WY,8,General,0.40641711229946526,,,166.0,228.0,72.0,0.43373493975903615,72.0,0.43373493975903615,B
2022,WY,9,General,0.40641711229946526,,,178.0,228.0,64.0,0.3595505617977528,64.0,0.3595505617977528,B
2022,WY,11,General,0.40641711229946526,,,293.0,228.0,112.0,0.3822525597269625,112.0,0.3822525597269625,B
2022,WY,12,General,0.40641711229946526,,,144.0,228.0,86.0,0.5972222222222222,86.0,0.5972222222222222,B
2022,WY,13,General,0.40641711229946526,,,342.0,228.0,156.0,0.45614035087719296,156.0,0.45614035087719296,B
2022,WY,14,General,0.40641711229946526,,,226.0,228.0,114.0,0.504424778761062,111.0,0.4911504424778761,B
2022,WY,15,General,1.0,,,1340.0,92.0,505.0,0.376865671641791,498.0,0.3716417910447761,T
2022,WY,17,General,0.27123287671232876,,,1122.0,297.0,455.0,0.4055258467023173,440.0,0.39215686274509803,C
2022,WY,18,General,0.27123287671232876,,,727.0,297.0,249.0,0.3425034387895461,238.0,0.32737276478679506,C
2022,WY,19,General,0.27123287671232876,,,491.0,297.0,186.0,0.3788187372708758,179.0,0.3645621181262729,C
2022,WY,21,General,0.40641711229946526,,,281.0,228.0,140.0,0.498220640569395,140.0,0.498220640569395,B
2022,WY,23,General,0.27123287671232876,,,908.0,297.0,518.0,0.5704845814977973,510.0,0.5616740088105727,C
2022,WY,24,General,0.20021186440677965,,,710.0,189.0,288.0,0.4056338028169014,284.0,0.4,Y
2022,WY,25,General,0.20021186440677965,,,708.0,189.0,171.0,0.24152542372881355,171.0,0.24152542372881355,Y
